distortion_name,model_name,orig_label,orig_conf,dist_label,dist_conf,top1_match,confidence_delta,class_changed,param_brightness,param_contrast
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 644,0.03949747607111931,False,-0.11437864974141121,True,-0.5,-0.5
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 644,0.03681602701544762,False,-0.1170600987970829,True,-0.5,-0.45
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 818,0.048822157084941864,False,-0.10505396872758865,True,-0.5,-0.4
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 818,0.3663601279258728,False,0.21248400211334229,True,-0.5,-0.35
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 892,0.0732046365737915,False,-0.08067148923873901,True,-0.5,-0.3
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 892,0.11358900368213654,False,-0.04028712213039398,True,-0.5,-0.25
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.1295023113489151,False,-0.024373814463615417,True,-0.5,-0.19999999999999996
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.15986059606075287,False,0.005984470248222351,True,-0.5,-0.14999999999999997
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.17320775985717773,False,0.019331634044647217,True,-0.5,-0.09999999999999998
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.1803727000951767,False,0.02649657428264618,True,-0.5,-0.04999999999999999
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.1817006915807724,False,0.027824565768241882,True,-0.5,0.0
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.16847915947437286,False,0.014603033661842346,True,-0.5,0.050000000000000044
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.1597752422094345,False,0.005899116396903992,True,-0.5,0.10000000000000009
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.13578081130981445,False,-0.018095314502716064,True,-0.5,0.15000000000000002
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.10202585160732269,False,-0.051850274205207825,True,-0.5,0.20000000000000007
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.0759744644165039,False,-0.07790166139602661,True,-0.5,0.25
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.06402329355478287,False,-0.08985283225774765,True,-0.5,0.30000000000000004
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 285,0.06545592099428177,True,-0.08842020481824875,False,-0.5,0.3500000000000001
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 285,0.06901302933692932,True,-0.0848630964756012,False,-0.5,0.4
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 285,0.06942437589168549,True,-0.08445174992084503,False,-0.5,0.45000000000000007
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 285,0.07193818688392639,True,-0.08193793892860413,False,-0.5,0.5
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 644,0.03529531508684158,False,-0.11858081072568893,True,-0.45,-0.5
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 818,0.08241517841815948,False,-0.07146094739437103,True,-0.45,-0.45
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 818,0.26730871200561523,False,0.11343258619308472,True,-0.45,-0.4
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 892,0.09330686926841736,False,-0.06056925654411316,True,-0.45,-0.35
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.09682697057723999,False,-0.05704915523529053,True,-0.45,-0.3
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.150616854429245,False,-0.0032592713832855225,True,-0.45,-0.25
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.1684836447238922,False,0.014607518911361694,True,-0.45,-0.19999999999999996
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.1809508502483368,False,0.027074724435806274,True,-0.45,-0.14999999999999997
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.18077944219112396,False,0.026903316378593445,True,-0.45,-0.09999999999999998
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.18150971829891205,False,0.02763359248638153,True,-0.45,-0.04999999999999999
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.15729689598083496,False,0.0034207701683044434,True,-0.45,0.0
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.12980139255523682,False,-0.0240747332572937,True,-0.45,0.050000000000000044
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.09511328488588333,False,-0.058762840926647186,True,-0.45,0.10000000000000009
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.07516036927700043,False,-0.07871575653553009,True,-0.45,0.15000000000000002
Яркость и контраст,EfficientNet-B0 ImageNet,Class 285,0.15387612581253052,Class 284,0.06235647574067116,False,-0.09151965007185936,True,-0.45,0.20000000000000007
