distortion_name,model_name,orig_label,orig_conf,dist_label,dist_conf,top1_match,confidence_delta,class_changed,param_sigma
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.7447605133056641,True,0.01822221279144287,False,0.01
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.7329391241073608,True,0.0064008235931396484,False,0.060000000000000005
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.2514970600605011,True,-0.4750412404537201,False,0.11
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.27065563201904297,True,-0.4558826684951782,False,0.16000000000000003
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 285,0.35384616255760193,False,-0.37269213795661926,True,0.21000000000000002
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 285,0.3549495339393616,False,-0.3715887665748596,True,0.26
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.3509696424007416,True,-0.3755686581134796,False,0.31000000000000005
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 285,0.18263575434684753,False,-0.5439025461673737,True,0.36000000000000004
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 285,0.22441618144512177,False,-0.5021221190690994,True,0.41000000000000003
Гауссов шум,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 285,0.2241039276123047,False,-0.5024343729019165,True,0.46
