distortion_name,model_name,orig_label,orig_conf,dist_label,dist_conf,top1_match,confidence_delta,class_changed,param_brightness,param_contrast
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6735745072364807,True,-0.05296379327774048,False,-0.45,0.15000000000000002
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6749420762062073,True,-0.051596224308013916,False,-0.45,0.20000000000000007
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6451195478439331,True,-0.08141875267028809,False,-0.45,0.25
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6339898705482483,True,-0.0925484299659729,False,-0.45,0.30000000000000004
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6251527667045593,True,-0.10138553380966187,False,-0.45,0.3500000000000001
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6063745617866516,True,-0.12016373872756958,False,-0.45,0.4
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.5772309899330139,True,-0.14930731058120728,False,-0.45,0.45000000000000007
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.5628551840782166,True,-0.16368311643600464,False,-0.45,0.5
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 818,0.114695705473423,False,-0.6118425950407982,True,-0.4,-0.5
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 854,0.14126145839691162,False,-0.5852768421173096,True,-0.4,-0.45
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 892,0.16536948084831238,False,-0.5611688196659088,True,-0.4,-0.4
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 892,0.16513146460056305,False,-0.5614068359136581,True,-0.4,-0.35
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 892,0.10479617118835449,False,-0.6217421293258667,True,-0.4,-0.3
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 619,0.07272618263959885,False,-0.6538121178746223,True,-0.4,-0.25
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.124296635389328,True,-0.6022416651248932,False,-0.4,-0.19999999999999996
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.21736487746238708,True,-0.5091734230518341,False,-0.4,-0.14999999999999997
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.37397176027297974,True,-0.35256654024124146,False,-0.4,-0.09999999999999998
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.54823237657547,True,-0.17830592393875122,False,-0.4,-0.04999999999999999
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6189699769020081,True,-0.10756832361221313,False,-0.4,0.0
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6490538716316223,True,-0.07748442888259888,False,-0.4,0.050000000000000044
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6458118557929993,True,-0.08072644472122192,False,-0.4,0.10000000000000009
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6516315340995789,True,-0.07490676641464233,False,-0.4,0.15000000000000002
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.6228148341178894,True,-0.10372346639633179,False,-0.4,0.20000000000000007
Яркость и контраст,MobileNetV3-Small ImageNet,Class 223,0.7265383005142212,Class 223,0.5997436046600342,True,-0.126794695854187,False,-0.4,0.25
