distortion_name,model_name,orig_label,orig_conf,dist_label,dist_conf,top1_match,confidence_delta,class_changed,param_sigma
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 285,0.6542205810546875,True,0.006129741668701172,False,0.01
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 285,0.5747596025466919,True,-0.07333123683929443,False,0.060000000000000005
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 285,0.5636653304100037,True,-0.08442550897598267,False,0.11
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 281,0.21324582397937775,False,-0.4348450154066086,True,0.16000000000000003
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 281,0.4236404597759247,False,-0.22445037961006165,True,0.21000000000000002
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 281,0.48978257179260254,False,-0.1583082675933838,True,0.26
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 223,0.325331449508667,False,-0.32275938987731934,True,0.31000000000000005
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 281,0.17342329025268555,False,-0.4746675491333008,True,0.36000000000000004
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 223,0.1879243105649948,False,-0.4601665288209915,True,0.41000000000000003
Гауссов шум,ResNet-18 ImageNet,Class 285,0.6480908393859863,Class 285,0.17221494019031525,True,-0.4758758991956711,False,0.46
